"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belize","BLZ","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","-700000","-700000","0","0","0","0","0","0","-200000","-7000000","-6106500","-3477000","-10075000","-10215000","-12500000","-38516616.08","-113137162.4","19407136.0360725","-124046567.962751","-79218382.8303763","-76639446.795809","-17845088.1888139","21606114.0648305","-78745499.7312496","-167567.961738875","9654114.94266183","7814892.52111916","13194329.2265162","3428416.7847912","15918403.9180893","430.603259687681","558.403667041889","654.882848423576","",
"Bermuda","BMU","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-588510000","-5751847.59351099","-2811842551.67468","1637636347.05301","935841624.541051","2395686848.42519","-1059920328.45732","1612734360.33648","-8555618.95581201","1505477618.09394","-371824269.083764","",
"Bolivia","BOL","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","0","0","0","-1400000","3500000","900000","15000000","1800000","900000","900000","0","0","0","0","0","0","0","0","0","0","-300000","53200000","74500000","61300000","-55400000","23010000","19340000","68170000","35380000","153428732","-25091349.2360249","29903231.41","208092905.002275","153640000","-90147609.5182469","-156001925.593783","360335232.437186","428704992.377106","734541228.091056","622097642.44068","931702708.177543","",
"Brazil","BRA","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","0","0","0","0","-660000000","-354000000","2000000","1000000","286000000","272000000","237000000","450000000","428000000","-176000000","421000000","-512000000","-3808000000","-14466000000","-12322000000","-51135000000","-9745000000","-20832000000","-10058000000","-18419000000","-3800000000","-6955057016.30859","-76993760","5118566222.8125","-5307524740","4750133360","-4884536333.75","-9573235678.12501","-48390357301.2389","-1133124949.21874","-50283048500","-66912966479.94","-41247719172.88","-15825807532.76","-32281848087.41","-38425107492.38","-22245798700.63","19216382860.8","",
"Barbados","BRB","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","599999.9997","-556996.95340561","-520486.149998378","-153122.118856768","194814.912389145","-148598.228509321","-150000","-5550000","-2000000","2850000","-5250000","-150000","5900000","1850000","3750000","5150000","6400000","1400000","-42500000","4250000","25300000","2850000","14800000","8450000","-46850000","-37350000","19000000","42750000","54650000","-15100000","-71100000","-119700000","39011000","127464000","42390845.095","-32482116.17","-55402551.54","51555142.57","122626242.315","-126940755.475","-98488163.365","-435764607.37","299889442.465","-20862975.6075","","","","",
"Brunei Darussalam","BRN","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179057751.369098","-8097852.38567297","-60292103.680565","44768825.8642188","-21638847.2023095","90215499.1128467","-357937796.902529","-87790076.3817859","-139271027.364629","865508507.296528","165876296.074175","565176360.736538","458361041.317999","795748377.981144","336369777.539401","624753867.363287","",
"Bhutan","BTN","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","",
"Botswana","BWA","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","0","0","0","-4226251.79069458","0","0","0","0","0","0","0","0","0","0","0","-1289999.50281269","1187203.92041117","-94799.0851888279","-206349.370118548","111746.597455791","30661494.6937578","6588057.86661238","17720129.7628167","56898918.095166","30317477.7285743","39980642.3858968","62330571.8215592","413114548.069586","502760942.123044","440925578.242008","1068063572.73392","725184677.102932","326432955.713467","-534418699.692252","330081701.221935","402136676.3051","213337010.416621","195160967.60839","1243190451.22273","79014742.1643354","986625940.280694","-9998513.68193235","",
"Central African Republic","CAF","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","-285011746.119083","-253498076.705329","-276070848.848879","-476968423.43822","-755255691.115038","-376591820.704459","-291078635.678225","-395241102.178826","-909277155.59316","-1898651781.84317","-753653210.566921","-376685164.726538","-1457345561.54023","-812753615.150614","-2019422614.63114","-4777739439.95534","-9901970759.70705","-5590724040.44221","-4581585494.10362","-3489669571.14187","-5234414410.22327","-10400124373.1772","-9136341520.34761","-5245105357.17065","-6079031666.84235","-8181466215.9601","-17693685068.0359","-10747383246.0479","-15012568467.3613","-15048383260.4149","-13724838230.4645","-17348030460.7807","-10705988529.6509","-27568492130.7755","-10335304223.3454","-13033781077.6453","-1018350220.76323","-2576150955.80589","-1709552690.84374","11695188030.3203","32058941270.0301","-711935097.669024","5432045369.33869","-77355585.7346263","-23635493898.8621","33762340308.8439","41906298248.7059","70496948033.8387","-47831107976.9072","-92614789365.9863","-110137149239.164","-104240539558.362","-63543333053.9529","-26949707368.6704","-33731873192.2137","-46559974178.0293","-118516914917.023","",
